code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,Vergnano Coffee Pizza,https://glovoapp/es/ala/store/vergnano-coffee-pizza-ala/
,,,Grand Family,https://glovoapp/es/ala/store/grand-family-ala/
,,,Testov Flipinskiy,https://glovoapp/es/ala/store/testov-flipinskiy-ala/
,,,SATORI EXPRESS ,https://glovoapp/es/ala/store/satori-express-ala/
,,,Gold Steak ,https://glovoapp/es/ala/store/gold-steak-ala/
,,,Вкусный двор,https://glovoapp/es/ala/store/-vkusniydvor--ala-/
,,,Coffee Cup To Go,https://glovoapp/es/ala/store/coffee-cup-to-go-ala/
,,,Pizza In,https://glovoapp/es/ala/store/pizza-in-burgerandsushi-ala/
,,,Ильяс ,https://glovoapp/es/ala/store/ilyas-ala/
,,, Amore Mio Pizzeria,https://glovoapp/es/ala/store/amore-mio-pizzeria-ala/
,,,Ramen & Chicken,https://glovoapp/es/ala/store/ramen-and-chicken-ala-kz/
,,,Superbestia,https://glovoapp/es/alb/store/superbestia-albacete/
,,,American Tex Mex,https://glovoapp/es/alb/store/american-tex-mex-albacete/
,,,El Despacho de Cerveza Mahou San Miguel,https://glovoapp/es/alb/store/el-despacho-de-cerveza-mahou-san-miguel-albacete/
,,,Doña Lola Ethic,https://glovoapp/es/alb/store/dona-lola-ethic-alb/
,,,Casa Carmen,https://glovoapp/es/alb/store/casa-carmen-albacete/
,,,Marlo Tapería,https://glovoapp/es/alb/store/marlo-taper-a-albacete/
,,,The Tapa Negra,https://glovoapp/es/alb/store/the-tapa-negra-albacete/
,,,Mercado 100 Montaditos y La Sureña,https://glovoapp/es/alb/store/mercado-100-montaditos-y-la-surena-albacete/
,,,Riofrio Hotdogs,https://glovoapp/es/alb/store/riofrio-hotsdogs-albacete/
,,,Taperia Dharma's,https://glovoapp/es/alb/store/taperia-dharmas-albacete/
,,,Bar Pancho's,https://glovoapp/es/alb/store/bar-panchos-albacete/
,,,La Dicha,https://glovoapp/es/alb/store/la-dicha-albacete/
,,,Healthy Mamma,https://glovoapp/es/alb/store/healthy-mamma-albacete/
,,,La Rosa Del Alba,https://glovoapp/es/alb/store/la-rosa-del-alba-albacete/
,,,Pastelería Don Cardenal,https://glovoapp/es/alb/store/pasteler-a-don-cardenal-albacete/
,,,Veluria,https://glovoapp/es/alb/store/veluria-albacete/
,,,Pasta Mamma,https://glovoapp/es/alb/store/pasta-mamma-albacete/
,,,Valentina Pizza,https://glovoapp/es/alb/store/valentina-pizza-albacete/
,,,Cafetería Coronas,https://glovoapp/es/alb/store/cafeteria-coronas-albacete/
,,,Lincoln Burger,https://glovoapp/es/alb/store/lincoln-burger-albacete/
,,,El Portal,https://glovoapp/es/alb/store/el-portal-albacete/
,,,St. Patricks,https://glovoapp/es/alb/store/st-patricks-albacete/
,,,Restaurante Los Molinos,https://glovoapp/es/alb/store/gastrobar-restaurante-los-molinos-albacete/
,,,Retos Carnívoros,https://glovoapp/es/alb/store/retos-carnivoros-albacete/
,,,Don.com Burger,https://glovoapp/es/alb/store/doncom-burger-albacete/
,,,Café Bar Kábala,https://glovoapp/es/alb/store/cafe-bar-kabala-albacete/
,,,Don.com Healthy,https://glovoapp/es/alb/store/doncom-healthy-albacete/
,,,Café Bar Rubik,https://glovoapp/es/alb/store/cafe-bar-rubik-albacete/
,,,Burguer Flamencas,https://glovoapp/es/alb/store/burguer-flamencas-albacete/
,,,Velouria,https://glovoapp/es/alb/store/velouria-albacete/
,,,100 Montaditos,https://glovoapp/es/alb/store/100-montaditos-albacete/
,,,Monumental Restaurant,https://glovoapp/es/alb/store/monumental-restaurant-albacete/
,,,bar 967,https://glovoapp/es/alb/store/bar-967-albacete/
,,,Restaurante El Badil,https://glovoapp/es/alb/store/restaurante-el-badil-albacete/
,,,El Don.com Pasta,https://glovoapp/es/alb/store/el-don-com-pasta-albacete/
,,,Tapería 967,https://glovoapp/es/alb/store/taperia-967-albaacete/
,,,Lizarran,https://glovoapp/es/alb/store/lizarran-albacete/
,,,Catacaldos,https://glovoapp/es/alb/store/catacaldos-albacete/
,,,Mar y Tierra,https://glovoapp/es/alb/store/mar-y-tierra-albacete/
,,,Burger Alfons's,https://glovoapp/es/alb/store/burger-alfonss-albacete/
,,,Carlotto Burger,https://glovoapp/es/alb/store/carlotto-burger-albacete/
,,,La Marteña Caña Y Tapas,https://glovoapp/es/alb/store/la-martena-cana-y-tapas-albacete/
,,,Restaurante Capricho,https://glovoapp/es/alb/store/restaurante-capricho-albacete/
,,,K-Tapas,https://glovoapp/es/alb/store/k-tapas-albacete/
,,,Picoteo 22,https://glovoapp/es/alb/store/picoteo-22-albacete/
,,,Fasty Food,https://glovoapp/es/alb/store/fasty-food-albacete/
,,,La Tapería,https://glovoapp/es/alb/store/la-taperia-albacete/
,,,Taha Turk Kebab,https://glovoapp/es/alb/store/taha-turk-kebab-albacete/
,,,Café Bar Mercury,https://glovoapp/es/alb/store/cafe-bar-mercury-albacete/
,,,Don G,https://glovoapp/es/alb/store/don-g-albacete/
,,,Bulerias,https://glovoapp/es/alb/store/bulerias-albacete/
,,,Ginos,https://glovoapp/es/alb/store/ginos-albacete/
