code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,PizzaGian,https://glovoapp/es/mos/store/pizzagian-mostoles-alcorcon/
,,,Maui Poké,https://glovoapp/es/mos/store/maui-poke-mostoles-alcorcon/
,,,Burger Towers,https://glovoapp/es/mos/store/burger-towers-madrid-sur/
,,,Ginos,https://glovoapp/es/mos/store/ginos-mostoles/
,,,Fridays,https://glovoapp/es/mos/store/fridays-mostoles/
,,,Kamado,https://glovoapp/es/mos/store/kamado-madrid-sur/
,,,Hamburguesa Nostra,https://glovoapp/es/mos/store/hamburguesa-nostra-madrid-sur/
,,,La Piruleta,https://glovoapp/es/mos/store/la-piruletamadrid-sur/
,,,Planet Torta,https://glovoapp/es/mos/store/planet-torta/
,,,Kilometros de Pizza,https://glovoapp/es/mos/store/kilometros-de-pizza-mostoles-alcorcon/
,,,Donner Kebab Turkey,https://glovoapp/es/mos/store/donner-kebab-turkey-mostoles-y-alcorcon/
,,,Ditaly Pizza & Birra,https://glovoapp/es/mos/store/ditalypizzaybirra-madridsur/
,,, Doner Garden X Madrid,https://glovoapp/es/mos/store/doner-garden-x-madrid-madrid-sur/
,,,Muerde La Pasta,https://glovoapp/es/mos/store/muerde-la-pasta-mostoles-alcorcon/
,,,Café Bar La Chispa Ardiente,https://glovoapp/es/mos/store/cafe-bar-la-chispa-ardiente-leganes-getafe/
,,,Pikara,https://glovoapp/es/mos/store/pikara-madrid-sur/
,,,Cervezas La Virgen ,https://glovoapp/es/mos/store/cervezas-la-virgen-mostoles-alcorcon/
,,,Sushi 168,https://glovoapp/es/mos/store/sushi-168-madrid-sur/
,,,La Boutique Italian Food,https://glovoapp/es/mos/store/la-boutique-italian-food-mostoles-alcorcon/
,,,La Cantina De La Ola,https://glovoapp/es/mos/store/la-cantina-de-la-ola-mostoles-alorcon/
,,,El Kiosko Alcorcón,https://glovoapp/es/mos/store/el-kiosko-alcorcon-madrid-sur/
,,,Burger King,https://glovoapp/es/mos/store/burger-king-mostoles/
,,,Rodilla,https://glovoapp/es/mos/store/rodilla-mostoles/
,,,All'Italiana,https://glovoapp/es/mos/store/all-italiana-madrid-sur/
,,,American Pizza Burger,https://glovoapp/es/mos/store/american-pizza-burger/
,,,Sibuya ,https://glovoapp/es/mos/store/sibuya-madrid-sur/
VAC,Valdemoro + Ciempozuelos,https://glovoapp.com/es/VAC/category/RESTAURANT/,,
