code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,Galeon a Raiña,https://glovoapp/es/scq/store/galeon-a-rai-a-santiago-de-compostela/
,,,Big Bar Theory,https://glovoapp/es/scq/store/big-bar-theory-santiago-de-compostela/
,,,Amigo Café & Bar,https://glovoapp/es/scq/store/amigo-cafe-y-bar-santiago-de-compostela/
,,,Bar Espino,https://glovoapp/es/scq/store/bar-espino-santiago-de-compostela/
,,,Crepería St. Jacques,https://glovoapp/es/scq/store/creperia-st-jacques-/
,,,VIPS Smart,https://glovoapp/es/scq/store/vips-smart-scq/
,,,A Taberna da Feira,https://glovoapp/es/scq/store/a-taberna-da-feira-santiago-de-compostela/
,,,100 Montaditos,https://glovoapp/es/scq/store/100-montaditos/
,,,Restaurante Tarará,https://glovoapp/es/scq/store/restaurante-tarara-santiago-de-compostela/
,,,London Pub ,https://glovoapp/es/fog/store/london-pub-fog/
,,,Mexicali,https://glovoapp/es/fog/store/mexicali-fog/
,,, I Gemelli Diversi,https://glovoapp/es/fog/store/gemelli-diversi-71121/
,,,Marcello Pizzeria Ristorante,https://glovoapp/es/fog/store/marcello-pizzeria-ristorante/
,,,Pizza Taxi,https://glovoapp/es/fog/store/pizza-taxi-fog/
,,,Ristorante Pizzeria Cristallo,https://glovoapp/es/fog/store/ristorante-pizzeria-cristallo-foggia/
,,,Gusto e sorriso,https://glovoapp/es/fog/store/gusto-e-sorriso-fog/
,,,Artesian Grill,https://glovoapp/es/fog/store/artesian-grill-fog/
,,,Ali Baba,https://glovoapp/es/fog/store/ali-baba-fog/
,,,LA BUCA,https://glovoapp/es/fog/store/la-buca-fog/
,,,Chinese Station,https://glovoapp/es/fog/store/chinese-station-fog/
,,,La Tufara,https://glovoapp/es/fog/store/la-tufara/
,,,Sushi Lee,https://glovoapp/es/fog/store/sushi-lee-fog/
,,,"Pizzeria Trattoria ""La Buca""",https://glovoapp/es/fog/store/pizzeria-trattoria-la-buca-/
,,,Ristorante Cinese China Town,https://glovoapp/es/fog/store/ristorante-cinese-china-town-fog/
,,,Ristò by Cristallo,https://glovoapp/es/fog/store/risto-by-cristallo-fog/
,,,6 Fritto,https://glovoapp/es/fog/store/6-fritto-fogia/
,,,Ambasciata Orsarese,https://glovoapp/es/fog/store/ambasciata-orsarese-fog/
,,,Nuova Pizzeria Europa,https://glovoapp/es/fog/store/nuova-pizzeria-europa-fog/
,,,I Panini di Poseidon,https://glovoapp/es/fog/store/i-panini-di-poseidon-fog/
SIN,Seregno,https://glovoapp.com/es/SIN/category/RESTAURANT/,,
,,,Burger King®,https://glovoapp/es/sin/store/burger-kingr-sin/
,,,McDonald's®,https://glovoapp/es/sin/store/mcdonaldsr-sin/
HSK,Huesca,https://glovoapp.com/es/HSK/category/RESTAURANT/,,
,,,La Corralaza,https://glovoapp/es/hsk/store/la-corralaza-huesca/
SIE,Siedlce,https://glovoapp.com/es/SIE/category/RESTAURANT/,,
,,,KFC,https://glovoapp/es/sie/store/kfc-sie/
,,,Telepizza,https://glovoapp/es/sie/store/telepizza-sie/
,,,Pizzeria Verona,https://glovoapp/es/sie/store/pizzeria-verona-sie/
BGY,Bergamo,https://glovoapp.com/es/BGY/category/RESTAURANT/,,
,,,Poseidon,https://glovoapp/es/fog/store/poseidon/
,,,Lux Caffe,https://glovoapp/es/fog/store/content-in-progress-fog/
,,,McDonald's®,https://glovoapp/es/fog/store/mcdonaldsr-fog/
,,,La Perla di Damal,https://glovoapp/es/fog/store/la-perla-di-damal/
,,,Un Cedro ,https://glovoapp/es/fog/store/un-cedro-/
,,,Friggitoria Corso Roma,https://glovoapp/es/fog/store/corso-roma--fog/
,,,Punto Estrella,https://glovoapp/es/hsk/store/punto-estrella-huesca/
,,,The Food Point,https://glovoapp/es/hsk/store/the-food-point-huesca/
,,,Bar El Peñista,https://glovoapp/es/hsk/store/bar-el-penista-huesca/
,,,El Juli Tapas Bar,https://glovoapp/es/hsk/store/el-juli-tapas-bar-huesca/
,,,Fontao,https://glovoapp/es/hsk/store/fontao-huesca/
,,,Pizza Food,https://glovoapp/es/hsk/store/pizza-food-huesca/
,,,Burger Pro,https://glovoapp/es/hsk/store/burger-pro-huesca/
,,,Kebab Point,https://glovoapp/es/hsk/store/kebab-point-huesca/
,,,La Plancha a Estribor,https://glovoapp/es/hsk/store/la-plancha-a-estribor-huesca/
,,,Burger King,https://glovoapp/es/hsk/store/burger-king-hsk-/
