code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,Quetzal,https://glovoapp/es/mad/store/quetzal-madrid/
,,,Restaurante Hutong,https://glovoapp/es/mad/store/restaurante-hutong-madrid/
,,,Kukaramakara,https://glovoapp/es/mad/store/kukaramakara-madrid/
,,,El Jefe Traveling Food,https://glovoapp/es/mad/store/el-jefe-traveling-food-madrid/
,,,Cool and Warm,https://glovoapp/es/mad/store/cool-and-warm-madrid/
,,,Kilosout,https://glovoapp/es/mad/store/kilosout-madrid/
,,,Restaurante Vila Brasil,https://glovoapp/es/mad/store/restaurante-vila-brasil-madrid/
,,,Malaguita Gastro Bar,https://glovoapp/es/mad/store/malaguita-mad/
,,,Ostería Lisanderella,https://glovoapp/es/mad/store/osteria-lisanderella-madrid/
,,,La cocina de cari,https://glovoapp/es/mad/store/la-cocina-de-cari-madrid/
,,,Donburi House,https://glovoapp/es/mad/store/donburi-house-madrid/
,,,Best Healthy Food,https://glovoapp/es/mad/store/best-healthy-food-madrid/
,,,HOMIE,https://glovoapp/es/mad/store/homie-madrid/
,,,CARNIco,https://glovoapp/es/mad/store/carnico-madrid3/
,,,L22 Pizza,https://glovoapp/es/mad/store/mascalzone-2/
,,,Jungle Food,https://glovoapp/es/mad/store/jungle-food-madrid/
,,,It's Pho Girls,https://glovoapp/es/mad/store/its-pho-girls-madrid/
,,,DeDiego,https://glovoapp/es/mad/store/dediego-madrid/
,,,Renan Prensado,https://glovoapp/es/mad/store/renan-prensado-madrid/
,,,MiRoscón,https://glovoapp/es/mad/store/miroscon-madrid/
,,,Shalakabula,https://glovoapp/es/mad/store/shalakabula-madrid/
,,,Marisquería Mar de Plata,https://glovoapp/es/mad/store/marisqueria-mar-de-plata-madrid/
,,,Kebabish Islas Filipinas,https://glovoapp/es/mad/store/kebabish-islas-filipinas-madrid/
,,,Wings Market,https://glovoapp/es/sjo/store/wings-market-san-jose/
,,,Ola Poke,https://glovoapp/es/sjo/store/ola-poke-san-jose/
,,,Restaurante Amón,https://glovoapp/es/sjo/store/restaurante-am-n-san-jose/
,,,Il Volpino Pizzeria y Galeria,https://glovoapp/es/sjo/store/il-volpino-pizzeria-y-galeria-san-jose/
,,,Patty Factory,https://glovoapp/es/sjo/store/patty-factory-san-jose/
,,,Huacamole Sodita,https://glovoapp/es/sjo/store/huacamole-sodita/
,,,Jr Ribs,https://glovoapp/es/sjo/store/jr-ribs-san-jose/
,,,Taj Grill,https://glovoapp/es/sjo/store/taj-grill-san-jose/
,,,Heladeria Fruto Yogurt ,https://glovoapp/es/sjo/store/fruto-yogurt-san-jose/
,,,Costa Rica Beer Factory,https://glovoapp/es/sjo/store/costa-rica-beer-factory/
,,,Gastro Bar en la 38,https://glovoapp/es/sjo/store/hotel-tryp-san-jose-sabana-san-jose/
,,,Sapore Trattoria,https://glovoapp/es/sjo/store/sapore-trattoria/
,,,AntojArte Café,https://glovoapp/es/sjo/store/antoj-arte-cafe-san-jose/
,,,Pizzería Fratellos,https://glovoapp/es/sjo/store/pizzeria-fratellos-sanjose/
,,,Los Mariscos de la Gata,https://glovoapp/es/sjo/store/los-mariscos-de-la-gata-san-jose/
,,,Mr S,https://glovoapp/es/sjo/store/mr-s-san-jose/
,,,Café Paris,https://glovoapp/es/sjo/store/cafe-paris-sanjose/
,,,Na Praia,https://glovoapp/es/sjo/store/na-praia-san-jose/
,,,Pana's Food,https://glovoapp/es/sjo/store/pana-s-food-san-jose/
,,,Totopos Comida Mexicana,https://glovoapp/es/sjo/store/totopos-comida-mexicana/
,,,Ventanita Inka,https://glovoapp/es/sjo/store/peru-mucho-gusto-san-jose/
,,,2X1 Aloha Bowls & Hawaian Food,https://glovoapp/es/sjo/store/2x1-aloha-bowls-and-hawaian-food-san-jose-1/
,,,Bizzo,https://glovoapp/es/mad/store/bizzo-madrid/
,,,El Sainete,https://glovoapp/es/mad/store/el-sainete-madrid/
,,,Sasha Boom,https://glovoapp/es/mad/store/sasha-boom-madrid/
,,,Hawaiian Poke,https://glovoapp/es/mad/store/hawaiian-poke-madrid/
,,,Aki Sushi,https://glovoapp/es/mad/store/aki-sushi/
,,,Mi Fan,https://glovoapp/es/mad/store/mi-fan-madrid/
,,,Juanyta me Mata,https://glovoapp/es/mad/store/juanyta-me-mata-madrid/
,,,Tan-Go Pizza & Grill,https://glovoapp/es/mad/store/tan-go-pizza-grill-madrid/
,,,Cien Pizzitas,https://glovoapp/es/mad/store/cien-pizzitas/
,,,Lulo Coffee & Kitchen,https://glovoapp/es/mad/store/lulo-coffee-y-kitchen-madrid/
,,,Ensalati,https://glovoapp/es/mad/store/ensalati-madrid/
,,,Catasa ,https://glovoapp/es/mad/store/catasa-madrid/
,,,La Virgen 154,https://glovoapp/es/mad/store/la-virgen-154-madrid/
,,,Poke & Roll,https://glovoapp/es/mad/store/poke-and-roll-madrid/
,,,We Are Monkeys,https://glovoapp/es/mad/store/we-are-monkeys-madrid/
,,,Píllalos ,https://glovoapp/es/mad/store/pillalos/
,,,Locco'Pizza,https://glovoapp/es/mad/store/loccopizza-madrid/
,,,Sol Azteca,https://glovoapp/es/mad/store/sol-azteca-madrid/
,,,Cerveceria Riaño,https://glovoapp/es/mad/store/cerveceria-riano-madrid/
,,,La Leyenda del Agave,https://glovoapp/es/mad/store/la-leyenda-del-agave-madrid/
,,,Elitte,https://glovoapp/es/mad/store/ellite-madrid/
,,,Pizzeria Paulista,https://glovoapp/es/sjo/store/pizzeria-paulista-san-jose/
,,,Coreano y Japones Columbus,https://glovoapp/es/sjo/store/coreano-y-japones-columbus-san-jose/
,,,Coffee Beans Costa Rica,https://glovoapp/es/sjo/store/coffee-beans-costa-rica-sanjose/
,,,Poke Si,https://glovoapp/es/sjo/store/poke-si-sanjose/
,,,Mozzarellos Pizza,https://glovoapp/es/sjo/store/mozzarellos-pizzeria-sanjose/
,,,Happy Little Fish ,https://glovoapp/es/sjo/store/happy-little-fish-san-jose/
,,,Central Pub,https://glovoapp/es/sjo/store/central-pub-san-jose/
,,,República Casa Cervecera,https://glovoapp/es/sjo/store/rep-blica-casa-cervecera-san-jose/
,,,Metropolitan Burger,https://glovoapp/es/sjo/store/metropolitan-burger-san-jose/
,,,Don Gato Gastrobar,https://glovoapp/es/sjo/store/don-gato-gastrobar-san-jose/
,,,Churros y golosinas Don Marco,https://glovoapp/es/sjo/store/churros-y-golosinas-don-marco-san-jose/
,,,2X1 Sushi & Bowls,https://glovoapp/es/sjo/store/2x1-sushi-y-bowls-san-jose/
,,,Restaurante Hierba Buena,https://glovoapp/es/sjo/store/restaurante-hierba-buena-sjo/
,,,Pal Horno,https://glovoapp/es/sjo/store/pal-horno-san-jose/
,,,Cosmos Classic Bar & Restaurant,https://glovoapp/es/sjo/store/cosmos-classic-bar---restaurant-san-jose/
,,,Tierra Gaucha,https://glovoapp/es/sjo/store/tierra-gaucha/
,,,El Buen Gusto,https://glovoapp/es/sjo/store/el-buen-gusto-san-jose/
,,,Pizza Nana,https://glovoapp/es/sjo/store/pizza-nana-san-jose/
,,,Aroma Abril Café Restaurante ,https://glovoapp/es/sjo/store/aroma-abril-cafe-restaurante-san-jose/
,,,Panaderías Nana's,https://glovoapp/es/sjo/store/panaderias-nanas-san-jose/
,,,Selina San José,https://glovoapp/es/sjo/store/selina-san-jose-san-jose/
,,,Terraza 97,https://glovoapp/es/sjo/store/terraza-97-san-jose/
,,,Pasta Pronto Express y Catering,https://glovoapp/es/sjo/store/pasta-pronto-san-jose/
,,,Buono Pastas & Pizzas,https://glovoapp/es/sjo/store/buono-pastas-san-jose/
